RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
0,2,0.0,14,24,1,1,10,0.239010989010989,2
0,2,0.05263157894736842,14,26,1,1,10,0.23168498168498167,2
0,2,0.10526315789473684,14,34,1,1,10,0.1959706959706959,3
1,2,0.15789473684210525,14,36,1,1,6,0.15018315018315015,3
1,2,0.21052631578947367,14,36,1,1,7,0.16483516483516483,2
1,2,0.2631578947368421,14,52,1,1,6,0.12087912087912087,3
1,2,0.3157894736842105,14,36,1,1,7,0.1684981684981685,3
1,2,0.3684210526315789,14,56,1,1,5,0.10531135531135528,3
0,2,0.42105263157894735,14,48,1,1,6,0.12728937728937725,2
1,2,0.47368421052631576,14,50,1,1,5,0.12362637362637362,3
1,2,0.5263157894736842,14,56,1,1,5,0.10714285714285711,3
1,2,0.5789473684210527,14,58,1,1,5,0.10439560439560439,2
1,2,0.631578947368421,14,62,1,1,5,0.09340659340659341,3
1,2,0.6842105263157894,14,66,1,1,5,0.09065934065934064,3
1,2,0.7368421052631579,14,66,1,1,5,0.08608058608058608,2
1,2,0.7894736842105263,14,72,1,1,3,0.07417582417582416,2
1,2,0.8421052631578947,14,68,1,1,3,0.076007326007326,2
1,2,0.894736842105263,14,70,1,1,3,0.07509157509157509,2
1,2,0.9473684210526315,14,70,1,1,5,0.07967032967032965,2
1,2,1.0,14,72,1,1,3,0.07417582417582416,2
0,3,0.0,50,108,1,1,10,0.060731292517006805,2
1,3,0.05263157894736842,50,152,1,1,8,0.04994897959183673,3
1,3,0.10526315789473684,50,214,1,1,7,0.04253401360544218,2
1,3,0.15789473684210525,50,262,1,1,6,0.038673469387755094,2
1,3,0.21052631578947367,50,300,1,1,5,0.035799319727891146,2
1,3,0.2631578947368421,50,352,1,1,5,0.032448979591836735,2
1,3,0.3157894736842105,50,390,1,1,5,0.030136054421768702,2
1,3,0.3684210526315789,50,434,1,1,5,0.02784013605442177,2
1,3,0.42105263157894735,50,458,1,1,5,0.02731292517006802,2
1,3,0.47368421052631576,50,444,1,1,5,0.027465986394557818,2
1,3,0.5263157894736842,50,488,1,1,5,0.025561224489795916,2
1,3,0.5789473684210527,50,514,1,1,5,0.024166666666666666,2
