,n,f,Exp MLE
0,10.0,1.5,0.009249743062692703
1,2.0,0.1,0.8636363636363636
2,2.0,0.35,0.6518617021276596
3,2.0,0.575,0.5149253731343284
4,2.0,1.05,0.34615384615384615
5,2.0,1.525,0.2639344262295082
6,2.0,2.0,0.24157303370786518
7,3.0,0.1,0.8173913043478261
8,3.0,0.25,0.5912511759172154
9,3.0,0.575,0.36486486486486486
10,3.0,0.7333333333333333,0.284617951284618
11,3.0,1.05,0.1865079365079365
12,3.0,1.525,0.13072329130723293
13,3.0,2.0,0.09757305596830114
14,4.0,0.1,0.8602150537634409
15,4.0,0.45,0.4594363791631085
16,4.0,0.5222222222222223,0.4068522483940043
17,4.0,0.575,0.36694677871148457
18,4.0,0.7333333333333333,0.29017673653925197
19,4.0,1.05,0.1912442396313364
20,4.0,1.525,0.09608717186726103
21,4.0,2.0,0.05633408071748879
22,5.0,0.1,0.8709677419354839
23,5.0,0.3111111111111111,0.6611111111111111
24,5.0,0.5222222222222223,0.49176954732510286
25,5.0,0.7333333333333333,0.4103585657370518
26,5.0,1.12,0.2341431950118254
27,6.0,1.3,0.13023752335201494
28,7.0,1.4,0.06340306232477895
29,8.0,1.5,0.025935310776568788
